Ciudad,Punto,Manzana,Estrato,Latitud,Longitud
Bucaramanga - Floridablanca - Piedecuesta,1 - Bajo,6800110000000010820908,Bajo,7.07266088796,-73.1204238646
Bucaramanga - Floridablanca - Piedecuesta,2 - Bajo,6800110000000011940622,Bajo,7.07548526608,-73.1247247333
Bucaramanga - Floridablanca - Piedecuesta,3 - Bajo,6827610000000000020309,Bajo,7.09424128964,-73.0976850864
Bucaramanga - Floridablanca - Piedecuesta,4 - Bajo,6854710000000000010519,Bajo,6.9991408117,-73.0595664285
Bucaramanga - Floridablanca - Piedecuesta,5 - Medio,6854710000000000020133,Medio,7.00059443921,-73.0559493714
Bucaramanga - Floridablanca - Piedecuesta,6 - Medio,6827610000000000050408,Medio,7.07691862971,-73.1041176531
Bucaramanga - Floridablanca - Piedecuesta,7 - Medio,6827610000000000090605,Medio,7.06313994253,-73.0819888236
Bucaramanga - Floridablanca - Piedecuesta,8 - Alto,6827610000000000130157,Alto,7.06250838263,-73.0987554732
Bucaramanga - Floridablanca - Piedecuesta,9 - Alto,6800110000000013330107,Alto,7.12547557136,-73.114012883
